;date;Italy;US;Spain;India;Brazil
0;2020-01-22;0;1;0;0;0
1;2020-01-23;0;1;0;0;0
2;2020-01-24;0;2;0;0;0
3;2020-01-25;0;2;0;0;0
4;2020-01-26;0;5;0;0;0
5;2020-01-27;0;5;0;0;0
6;2020-01-28;0;5;0;0;0
7;2020-01-29;0;5;0;0;0
8;2020-01-30;0;5;0;1;0
9;2020-01-31;2;7;0;1;0
10;2020-02-01;2;8;1;1;0
11;2020-02-02;2;8;1;2;0
12;2020-02-03;2;11;1;3;0
13;2020-02-04;2;11;1;3;0
14;2020-02-05;2;11;1;3;0
15;2020-02-06;2;11;1;3;0
16;2020-02-07;3;11;1;3;0
17;2020-02-08;3;11;1;3;0
18;2020-02-09;3;11;2;3;0
19;2020-02-10;3;11;2;3;0
20;2020-02-11;3;12;2;3;0
21;2020-02-12;3;12;2;3;0
22;2020-02-13;3;13;2;3;0
23;2020-02-14;3;13;2;3;0
24;2020-02-15;3;13;2;3;0
25;2020-02-16;3;13;2;3;0
26;2020-02-17;3;13;2;3;0
27;2020-02-18;3;13;2;3;0
28;2020-02-19;3;13;2;3;0
29;2020-02-20;3;13;2;3;0
30;2020-02-21;20;15;2;3;0
31;2020-02-22;62;15;2;3;0
32;2020-02-23;155;15;2;3;0
33;2020-02-24;229;15;2;3;0
34;2020-02-25;322;15;6;3;0
35;2020-02-26;453;15;13;3;1
36;2020-02-27;655;16;15;3;1
37;2020-02-28;888;16;32;3;1
38;2020-02-29;1128;24;45;3;2
39;2020-03-01;1694;30;84;3;2
40;2020-03-02;2036;52;120;5;2
41;2020-03-03;2502;72;165;5;2
42;2020-03-04;3089;103;222;28;4
43;2020-03-05;3858;172;259;30;4
44;2020-03-06;4636;215;400;31;13
45;2020-03-07;5883;337;500;34;13
46;2020-03-08;7375;450;673;39;20
47;2020-03-09;9172;515;1073;43;25
48;2020-03-10;10149;713;1695;56;31
49;2020-03-11;12462;1105;2277;62;38
50;2020-03-12;15113;1530;2277;73;52
51;2020-03-13;17660;2115;5232;82;151
52;2020-03-14;21157;2814;6391;102;151
53;2020-03-15;24747;2986;7798;113;162
54;2020-03-16;27980;4354;9942;119;200
55;2020-03-17;31506;5970;11748;142;321
56;2020-03-18;35713;8386;13910;156;372
57;2020-03-19;41035;12674;17963;194;621
58;2020-03-20;47021;18736;20410;244;793
59;2020-03-21;53578;24508;25374;330;1021
60;2020-03-22;59138;33152;28768;396;1546
61;2020-03-23;63927;43850;35136;499;1924
62;2020-03-24;69176;54112;39885;536;2247
63;2020-03-25;74386;66055;49515;657;2554
64;2020-03-26;80589;83611;57786;727;2985
65;2020-03-27;86498;102101;65719;887;3417
66;2020-03-28;92472;122059;73235;987;3904
67;2020-03-29;97689;141205;80110;1024;4256
68;2020-03-30;101739;162707;87956;1251;4579
69;2020-03-31;105792;188744;95923;1397;5717
70;2020-04-01;110574;214205;104118;1998;6836
71;2020-04-02;115242;244610;112065;2543;8044
72;2020-04-03;119827;276547;119199;2567;9056
73;2020-04-04;124632;309699;126168;3082;10360
74;2020-04-05;128948;337573;131646;3588;11130
75;2020-04-06;132547;367215;136675;4778;12161
76;2020-04-07;135586;397992;141942;5311;14034
77;2020-04-08;139422;429686;148220;5916;16170
78;2020-04-09;143626;464442;153222;6725;18092
79;2020-04-10;147577;497943;158273;7598;19638
80;2020-04-11;152271;527969;163027;8446;20727
81;2020-04-12;156363;556522;166831;9205;22192
82;2020-04-13;159516;581813;170099;10453;23430
83;2020-04-14;162488;608878;172541;11487;25262
84;2020-04-15;165155;637974;177644;12322;28320
85;2020-04-16;168941;669272;184948;13430;30425
86;2020-04-17;172434;701996;190839;14352;33682
87;2020-04-18;175925;730266;191726;15722;36658
88;2020-04-19;178972;756544;198674;17615;38654
89;2020-04-20;181228;783931;200210;18539;40743
90;2020-04-21;183957;809295;204178;20080;43079
91;2020-04-22;187327;837627;208389;21370;45757
92;2020-04-23;189973;871617;213024;23077;50036
93;2020-04-24;192994;907908;202990;24530;54043
94;2020-04-25;195351;940829;205905;26283;59324
95;2020-04-26;197675;968518;207634;27890;63100
96;2020-04-27;199414;990983;209465;29451;67446
97;2020-04-28;201505;1015518;210773;31324;73235
98;2020-04-29;203591;1043038;212917;33062;79685
99;2020-04-30;205463;1072667;213435;34863;87187
100;2020-05-01;207428;1106829;215216;37257;92202
101;2020-05-02;209328;1136024;216582;39699;97100
102;2020-05-03;210717;1161611;217466;42505;101826
103;2020-05-04;211938;1184086;218011;46437;108620
104;2020-05-05;213013;1208271;219329;49400;115455
105;2020-05-06;214457;1233527;220325;52987;126611
106;2020-05-07;215858;1261409;221447;56351;135773
107;2020-05-08;217185;1288587;222857;59695;146894
108;2020-05-09;218268;1314320;223578;62808;156061
109;2020-05-10;219070;1334084;224350;67161;162699
110;2020-05-11;219814;1352962;227436;70768;169594
111;2020-05-12;221216;1375152;228030;74292;178214
112;2020-05-13;222104;1396110;228691;78055;190137
113;2020-05-14;223096;1423727;229540;81997;203165
114;2020-05-15;223885;1449027;230183;85784;220291
115;2020-05-16;224760;1474128;230698;90648;233511
116;2020-05-17;225435;1493132;230698;95698;241080
117;2020-05-18;225886;1514901;231606;100328;255368
118;2020-05-19;226699;1535350;232037;106475;271885
119;2020-05-20;227364;1559157;232555;112028;291579
120;2020-05-21;228006;1584512;233037;118226;310087
121;2020-05-22;228658;1608653;234824;124794;330890
122;2020-05-23;229327;1630476;235290;131423;347398
123;2020-05-24;229858;1651289;235772;138536;363211
124;2020-05-25;230158;1670280;235400;144950;374898
125;2020-05-26;230555;1689163;236259;150793;391222
126;2020-05-27;231139;1707445;236259;158086;411821
127;2020-05-28;231732;1730260;237906;165386;438238
128;2020-05-29;232248;1754764;238564;173491;465166
129;2020-05-30;232664;1779214;239228;181827;498440
130;2020-05-31;232997;1799124;239479;190609;514849
131;2020-06-01;233197;1816479;239638;198370;526447
132;2020-06-02;233515;1837374;239932;207191;555383
133;2020-06-03;233836;1857332;240326;216824;584016
134;2020-06-04;234013;1878683;240660;226713;614941
135;2020-06-05;234531;1903907;240978;236184;645771
136;2020-06-06;234801;1926639;241310;246622;672846
137;2020-06-07;234998;1944370;241550;257486;691758
138;2020-06-08;235278;1961785;241717;265928;707412
139;2020-06-09;235561;1979912;241966;276146;739503
140;2020-06-10;235763;2000706;242280;286605;772416
141;2020-06-11;236142;2023656;242707;297535;802828
142;2020-06-12;236305;2048986;243209;308993;828810
143;2020-06-13;236651;2074542;243605;320922;850514
144;2020-06-14;236989;2094366;243928;332424;867624
145;2020-06-15;237290;2114026;244109;343091;888271
146;2020-06-16;237500;2137731;244328;354065;923189
147;2020-06-17;237828;2163290;244683;366946;955377
148;2020-06-18;238159;2191099;245268;380532;978142
149;2020-06-19;238011;2222579;245575;395048;1032913
150;2020-06-20;238275;2255328;245938;410451;1067579
151;2020-06-21;238499;2281767;246272;425282;1083341
152;2020-06-22;238720;2312303;246504;440215;1106470
153;2020-06-23;238833;2347491;246752;456183;1145906
154;2020-06-24;239410;2382426;247086;473105;1188631
155;2020-06-25;239706;2422299;247486;490401;1228114
156;2020-06-26;239961;2467554;247905;508953;1274974
157;2020-06-27;240136;2510259;248469;528859;1313667
158;2020-06-28;240310;2549864;248770;548318;1344143
159;2020-06-29;240436;2590668;248970;566840;1368195
160;2020-06-30;240578;2636414;249271;585481;1402041
161;2020-07-01;240760;2687588;249659;604641;1448753
162;2020-07-02;240961;2742049;250103;625544;1496858
163;2020-07-03;241184;2795361;250545;648315;1539081
164;2020-07-04;241419;2841241;250545;673165;1577004
165;2020-07-05;241611;2891124;250545;697413;1603055
166;2020-07-06;241819;2936077;251789;719664;1623284
167;2020-07-07;241956;2996098;252130;742417;1668589
168;2020-07-08;242149;3054699;252513;767296;1713160
169;2020-07-09;242363;3117946;253056;793802;1755779
170;2020-07-10;242639;3185737;253908;820916;1800827
171;2020-07-11;242827;3245925;253908;849522;1839850
172;2020-07-12;243061;3304942;253908;878254;1864681
173;2020-07-13;243230;3364157;255953;906752;1884967
174;2020-07-14;243344;3431574;256619;936181;1926824
175;2020-07-15;243506;3498902;257494;968857;1966748
176;2020-07-16;243736;3576157;258855;1003832;2012151
177;2020-07-17;243967;3647715;260255;1039084;2046328
178;2020-07-18;244216;3711413;260255;1077781;2074860
179;2020-07-19;244434;3773260;260255;1118206;2098389
180;2020-07-20;244624;3834677;264836;1155338;2118646
181;2020-07-21;244752;3899211;266194;1193078;2159654
182;2020-07-22;245032;3970121;267551;1238798;2227514
183;2020-07-23;245338;4038816;270166;1288108;2287475
184;2020-07-24;245590;4112531;272421;1337024;2343366
185;2020-07-25;245864;4178970;272421;1385635;2394513
186;2020-07-26;246118;4233923;272421;1435616;2419091
187;2020-07-27;246286;4290337;278782;1480073;2442375
188;2020-07-28;246488;4356206;280610;1531669;2483191
189;2020-07-29;246776;4426982;282641;1581963;2552265
190;2020-07-30;247158;4495015;285430;1634746;2610102
191;2020-07-31;247537;4562107;288522;1695988;2662485
192;2020-08-01;247832;4620592;288522;1750723;2707877
193;2020-08-02;248070;4668172;288522;1803695;2733677
194;2020-08-03;248229;4713540;297054;1855745;2750318
195;2020-08-04;248419;4771080;302814;1908254;2801921
196;2020-08-05;248803;4823890;305767;1964536;2859073
197;2020-08-06;249204;4883582;309855;2027074;2912212
198;2020-08-07;249756;4941755;314362;2088611;2962442
199;2020-08-08;250103;4997929;314362;2153010;3012412
200;2020-08-09;250566;5044864;314362;2215074;3035422
201;2020-08-10;250825;5094400;322980;2268675;3057470
202;2020-08-11;251237;5141208;326612;2329638;3109630
203;2020-08-12;251713;5197411;329784;2396637;3164785
204;2020-08-13;252235;5248958;337334;2461190;3224876
205;2020-08-14;252809;5313252;342813;2525922;3275520
206;2020-08-15;253438;5361165;342813;2589952;3317096
207;2020-08-16;253915;5403213;342813;2647663;3340197
208;2020-08-17;254235;5438325;359082;2702681;3359570
209;2020-08-18;254636;5483388;364196;2767253;3407354
210;2020-08-19;255278;5529824;370867;2836925;3456652
211;2020-08-20;256118;5573847;377906;2905825;3501975
212;2020-08-21;257065;5622470;386054;2975701;3532330
213;2020-08-22;258136;5667070;386054;3044940;3582362
214;2020-08-23;259345;5701645;386054;3106348;3605783
215;2020-08-24;260298;5739536;405436;3167323;3622861
216;2020-08-25;261174;5777710;412553;3224547;3669995
217;2020-08-26;262540;5821819;419849;3310234;3717156
218;2020-08-27;263949;5867785;429507;3387500;3761391
219;2020-08-28;265409;5913941;439286;3463972;3804803
220;2020-08-29;266853;5961094;439286;3542733;3846153
221;2020-08-30;268218;5996431;439286;3621245;3862311
222;2020-08-31;269214;6030587;462858;3691166;3908272
223;2020-09-01;270189;6073840;470973;3769523;3950931
224;2020-09-02;271515;6113510;479554;3853406;3997865
225;2020-09-03;272912;6150016;488513;3936747;4041638
226;2020-09-04;274644;6200518;498989;4023179;4091801
